CommunityArea,Region,Population,Families with Children (%),Single-Mother Headed Households (%),Single Parent Headed Households (%),Seniors Living Alone (%),Households with Youth (%),Grandparents Raising Grandchildren (%),Less than HS Grad (%),HS Grad or Higher (%),College Educated (%),Disabled (%),Foreign-Born (%),Limited English Proficiency (%),Unemployment (%),Median HH Income ($),Per Capita Income ($),Private Medical Insurance (%),Public Medical Insurance (%),Uninsured (%),Uninsured Among Employed (%),Uninsured Among Unemployed (%),Vacant Residence (%),Owner-Occupied Residence (%),Renter-Occupied Residence (%),Moved to Residence Since 2010 (%),Moved to Residence 2000-2009 (%),Moved to Residence 1990-1999 (%),Moved to Residence 1980-1989 (%),No Car Ownership (%),No Heat (%),No Landline Phone (%),Live in Crowded Housing (%),Median House Value ($),Income Spent on Housing (%),Age <5 (%),Age 65+ (%),Age <18 (%),Male (%),Female (%),Latino (%),"White, Non-Hispanic (%)","Black, Non-Hispanic (%)","Asian, Non-Hispanic (%)",Households Receiving SNAP Benefits (%),Walk to Work (%),Bike to Work (%),Drive Car to Work (%),Public Transportation to Work (%),Not US Citizen (%),Children Living in Poverty (%),Households in Poverty (%),Hardship Index 2012,Educational Opportunity (COI),"Low Income Student Enrollment, Chicago Public Schools (%)",5-Year Dropout Rate (%),"Juvenile Arrest Rate (per 1,000)","Juvenile Marijuana Arrest Rate (per 1,000)","Juvenile Victim of Crime Rate (per 1,000)",2000 Socioeconomic Change Index,2010 Socioeconomic Change Index,"Socioeconomic Change Index, Difference 2000-2010","Total Population Change, 2000 - 2012","Change in 25-34 Year Olds with College Degree 2000, to 2012","Property Crime Rate, 2014 (per 1,000)","Violent Crime Rate, 2014 (per 1,000)","Shooting Incidents, 2014",Food Insecure (%),RT_CT_15_19YO_PerThou,"Foreclosure Rate, 2013 (% Parcels)","24-month Vacancy Rate, 2013 (%)","Child Opportunity Index, 2014",Overweight or Obese CPS students (%),Obesity Prevalence Estimate (%),Children Uninsured (%),Stroke Mortality,CHD Mortality,HeartDis Mortality,Cancer Mortality,LungCancer Mortality,BreastCancer Mortality,CervicalCancer Mortality,ColorectalCancer Mortality,ProstateCancer Mortality,Diabetes_relt Mortality,alzheimers Mortality,HIV Mortality,Accidents Mortality,Homicides Mortality,Firearm_relt Mortality,MotorVehicle Mortality,suicides Mortality,drug_ind Mortality,Alchohol_ind Mortality,Infant Mortality,Asthma Mortality,COPD Mortality,Diet-Related Mortality,"Annual Years of Potential Life Lost (per 100,000 residents)","Teen Birth Rate (per 1,000)",Preterm Births (%),Mothers Receiving Prenatal Care During First Trimester (%),"Children with Elevated Lead Blood Levels, 2014 (%)","Vaccine-Preventable Diseases Reported, 2000-2014",Onsite Release of Hazardous Air Pollutants (lbs),"Performing Arts and Amusement Licenses, 2013 (per 1,000 residents)","Block Parties, 2012 (per 1,000 Residents)","Change in Median Home Value, 2006-2012 (%)"
South Deering ,8,16445,29.31,57.84,59.69,8.81,37.51,36.15,21.00,79.00,12.12,14.06,14.00,10.77,16.31,34857,14746,46.75,21.29,21.29,26.18,55.18,9.81,58.66,41.34,9.86,35.80,19.34,13.92,20.18,0.83,2.23,0.75,125850,34.11,5.30,12.25,27.29,30.48,42.23,31.61,5.42,60.94,0.30,23.87,1.21,0.48,77.85,20.45,6.84,47.69,29.22,65,-0.299,93.95,,41.47,5.15,40.77,-11,-11,0,-5,-96,45.67,12.77,20,24.86,99.22,2.2,3.9,-0.414,49.6,29.7,0.36,62.3,125.7,222.4,209.5,63.3,24.9,0,30.2,42,72.6,11.1,7.8,26.4,25,25,13.9,12.1,11,4.1,13,1.7,21.8,390.6,11692,85.3,12.9,66.5,2.80,6,11865,0.06,0.36,-75.2
East Side ,8,23517,39.94,30.37,40.71,6.65,45.62,26.81,31.95,68.05,12.32,9.50,31.19,27.89,12.15,42046,16873,48.10,20.83,20.83,27.57,48.52,12.39,68.19,31.81,5.94,45.42,20.75,12.74,13.74,0.14,1.81,1.28,140567,33.41,8.54,10.61,32.21,32.61,35.17,79.10,17.40,2.70,0.43,16.41,4.14,0.08,85.69,10.08,16.45,36.15,19.22,64,-0.509,90.91,20.49,24.09,5.78,21.27,-3,-5,-2,55,64,15.67,3.69,11,15.43,13.19,1.5,3.2,-0.399,46.6,28.8,0.45,30.2,112.4,188.5,170.3,37.8,20.6,0.8,18.1,17.1,67.6,12.2,1.9,32.7,7,7,10.9,7.7,9.7,4,7.2,1.8,31.9,306.5,5975,63,7.7,73.2,3.38,12,0,0.04,1.32,-66.8
West Pullman ,8,30810,27.11,58.72,66.88,9.14,39.46,52.45,19.18,80.82,15.16,14.94,2.69,2.25,18.88,40565,17491,45.40,17.45,17.45,19.42,46.78,18.90,63.51,36.49,6.93,39.30,15.00,14.48,16.59,0.38,2.29,0.80,128167,35.51,6.41,12.82,28.11,30.32,41.56,4.14,1.63,93.55,0.00,28.16,2.37,0.00,71.68,25.69,1.81,42.97,23.93,62,-0.198,91.42,,34.39,5.57,40.06,-7,-9,-2,-2537,4,32.93,13.60,54,31.29,146.10,2.7,6.4,-0.486,41.2,22.2,0.32,56.7,162.9,302.5,251.9,76.8,30,4.4,31.6,37.2,93.1,22.1,13,37.5,39.6,39.6,11.1,11.8,16.4,5.8,10.8,6.4,25.9,484.2,14460,80.2,10.6,64.9,6.35,17,49,0.03,1.68,-78.5
Riverdale ,8,6820,48.62,84.15,94.33,9.43,55.08,24.18,27.48,72.52,7.73,15.78,0.79,1.06,34.64,14472,8191,22.38,17.70,17.70,20.55,29.04,30.56,12.88,87.12,13.26,64.17,7.71,3.49,45.09,0.99,9.99,1.72,89400,34.80,8.56,7.43,44.09,16.01,39.90,1.99,0.00,97.92,0.00,65.50,9.83,0.00,52.44,37.28,0.00,63.65,56.50,98,-0.207,98.08,13.18,46.39,4.79,72.16,-9,-9,0,-1681,-13,37.80,22.68,21,43.06,14.10,1.6,25.3,-1.338,41.1,22.4,0.64,63.6,120,200.9,204,55.2,8.8,2.9,28.1,22.6,137.2,12.3,12.7,31.2,35.4,35.4,0,9.2,12.5,0,8.3,26.9,23,425.4,11545,52.8,14.6,68.8,6.25,2,5,0.14,0.16,
Hegewisch ,8,10168,34.81,37.79,45.57,13.40,39.31,11.98,19.22,80.78,19.24,12.77,10.94,8.60,9.60,48463,22485,62.19,15.05,15.05,14.60,44.86,8.68,73.98,26.02,6.90,44.56,20.55,5.90,11.88,0.00,3.30,0.00,154550,21.82,6.84,14.01,28.87,34.53,36.61,50.84,39.11,9.18,0.17,13.02,1.06,0.00,83.89,15.05,4.14,27.25,17.05,44,-0.122,86.33,,22.70,4.20,12.19,3,-3,-6,-37,164,21.43,3.61,0,12.89,,1.7,3.3,-0.434,44.3,22.1,0.67,40.4,121.4,207.3,227.1,64.6,33.5,1.5,21.2,10,49.1,14.2,2,23.7,9.2,9.2,7,4.1,2.3,18.3,10.4,0,35.3,319.4,7704,47.3,20,54.4,3.33,5,190956,0.20,1.16,-44.4
Garfield Ridge ,6,33940,30.16,13.07,21.11,11.16,32.93,27.68,19.29,80.71,18.83,10.93,22.68,17.31,11.27,51515,22051,72.99,12.31,12.31,13.93,41.16,6.13,83.38,16.62,4.43,41.01,22.72,10.81,10.36,0.41,0.54,0.91,194409,25.75,5.95,14.98,23.14,37.74,39.12,38.85,52.91,5.79,1.87,8.24,2.85,0.00,83.19,13.54,9.45,15.24,8.79,32,-0.162,80.38,32.09,15.57,4.29,15.32,7,1,-6,-1500,454,17.62,2.55,3,10.07,15.54,1.3,0.9,-0.046,48.7,27.4,0.64,42.8,170.9,239.5,213.4,56.3,22.7,2.2,22,28,70.6,18.5,3.6,28.1,9.3,9.3,5.8,9.6,9.6,8,4.1,7.1,31.3,375.7,7820,32.9,8.6,77.4,0.42,23,3091,0.06,3.24,-48.2
Archer Heights ,6,13434,45.24,23.05,31.91,7.78,49.60,31.03,35.88,64.12,9.39,6.97,41.83,40.53,16.47,44967,16952,45.46,25.42,25.42,35.14,63.13,11.21,64.36,35.64,8.21,52.86,22.86,6.39,11.58,0.00,2.09,1.20,217840,39.41,10.99,9.19,30.04,34.69,35.27,73.93,22.35,1.58,1.58,17.35,6.28,0.29,76.92,16.19,26.57,19.92,14.09,67,-0.654,94.83,16.77,37.53,5.25,25.52,3,-3,-6,-506,-46,32.85,4.70,0,16.19,,1.6,1.5,-0.385,46.4,25.1,0.45,52.4,162.4,222.6,149.5,31.6,21.8,0,7.8,15.7,64.6,14.1,3.9,37.7,12.5,12.5,9.9,0,3.2,17.4,1.9,1.6,33.9,338.1,5791,47.1,6.9,72.2,2.46,7,9780,0.35,1,-54.7
Brighton Park ,6,44148,52.46,20.46,29.98,4.39,58.91,27.15,45.11,54.89,8.87,7.15,43.53,42.77,13.91,36229,13088,33.94,32.20,32.20,44.61,62.59,16.21,45.86,54.14,10.08,54.31,21.86,6.21,13.73,0.12,2.50,1.98,189850,41.10,9.59,6.29,33.02,34.18,32.81,84.27,8.21,1.29,6.16,23.30,4.71,0.94,76.34,17.80,30.44,31.75,23.57,84,-0.506,95.47,17.21,12.69,2.07,12.43,-3,-7,-4,-7,433,18.58,4.47,16,12.07,14.80,2.2,1.8,-0.426,47.8,29.6,0.59,33.7,136,190.6,135.8,27.1,22.2,3.9,13.8,18.6,59.5,11.1,1.8,21.8,11.7,11.7,5.1,6.3,6.6,7.5,6.4,0.9,16.1,292.1,5445,53.6,9.4,75.6,4.73,24,0,0.11,0.87,-68.2
McKinley Park ,6,16434,37.99,21.07,31.07,5.09,44.86,31.47,32.87,67.13,14.18,8.99,36.61,34.47,13.44,41798,17164,46.63,23.73,23.73,30.06,55.06,9.18,56.26,43.74,9.14,50.95,21.00,8.64,18.67,0.12,2.55,2.28,221700,39.23,7.77,7.78,27.83,36.08,36.09,62.02,18.12,2.98,16.07,15.81,3.15,0.23,67.70,28.11,20.82,22.12,18.69,61,-0.214,92.19,,16.33,2.33,16.56,-1,-1,0,488,45,24.85,4.93,3,12.01,,1.7,2,-0.094,44.9,28.4,0.37,48.4,150.8,206.4,146.7,43.2,22.5,1.9,10.4,13.4,44.1,17.4,1,26.8,8,8,7.6,4.3,9.2,11,9.3,0,24.6,322.7,6284,44.7,10.5,77,2.90,6,0,0.06,1.13,-40.9
Bridgeport ,7,32430,28.87,24.94,35.49,7.69,30.88,20.03,22.24,77.76,23.62,8.90,34.14,29.52,13.69,45395,22664,52.93,21.74,21.74,26.04,56.97,13.74,47.22,52.78,12.68,53.07,17.17,7.53,22.59,0.00,1.59,1.07,285460,36.46,5.03,10.05,21.27,39.66,39.07,28.57,33.18,1.96,33.42,13.18,7.24,2.37,67.11,22.18,15.82,28.80,18.93,43,-0.010,85.88,,11.05,1.47,13.26,1,7,6,141,628,20.64,3.25,2,14.23,7.01,0.7,1.7,0.169,38.8,21.6,0.85,31.5,133.8,198.8,185.8,62.9,20.3,0.5,21.8,14.5,47.4,13.1,1.8,27.7,5.3,5.3,6.6,10.2,13,8.5,10.5,2.8,28.9,302,6439,35,8.3,82.6,1.35,7,9777,0.03,0.28,-43.5
New City ,6,42107,44.42,32.22,43.43,5.31,51.59,24.78,41.51,58.49,7.63,9.99,28.55,27.91,23.05,34500,12855,31.11,28.81,28.81,40.16,60.51,26.84,43.64,56.36,13.30,52.55,16.00,8.68,27.27,0.27,4.68,2.43,158171,42.75,10.06,6.05,32.84,33.80,33.36,53.47,13.73,30.04,1.34,37.17,5.56,1.18,69.48,23.78,22.61,42.74,29.03,91,-0.565,98.24,11.06,33.68,4.37,26.43,-7,-9,-2,-4340,116,33.87,11.90,39,23.96,121.01,2.3,8,-0.641,46.5,27.8,0.70,40,161.5,272.1,203.1,71.7,24.3,4.2,21.7,29,91.3,13.3,8.1,33.7,27.7,27.7,7.5,3.9,12.6,14.3,7.8,3.4,22.9,423.7,9727,76.7,11.4,66.4,7.18,24,361169,0.07,1.82,-83.2
West Elsdon ,6,18980,42.29,19.14,33.35,6.27,47.34,42.94,36.97,63.03,12.08,7.03,39.73,35.66,16.71,47059,15984,48.46,25.09,25.09,28.68,59.93,5.86,73.40,26.60,7.28,50.94,21.88,9.19,6.92,0.38,1.05,1.61,196350,36.48,7.85,9.13,28.61,35.17,36.22,78.03,17.76,2.13,1.70,17.55,2.35,0.00,79.11,18.20,25.32,26.83,15.58,69,-0.450,95.96,22.01,15.04,4.35,16.49,1,-3,-4,1483,149,21.04,3.53,5,7.92,8.89,2.5,1.4,-0.131,50.6,31,0.33,39.6,157.4,213.9,164.4,49.6,15.4,0,10.1,31.1,72.1,12,0,35.4,2.9,2.9,10.1,12.9,8.5,6.4,6.7,2.6,26.4,319.9,4838,41.6,11.2,73.4,1.60,12,0,0.05,1.92,-54.9
Gage Park ,6,39492,49.86,20.92,28.90,6.25,58.73,39.71,51.52,48.48,6.65,5.64,45.96,45.17,18.22,37225,12491,31.40,34.00,34.00,47.48,62.09,9.84,56.37,43.63,9.29,52.83,26.40,5.99,14.35,0.00,3.33,3.29,183113,44.73,8.73,5.65,33.12,34.23,32.65,89.78,4.74,4.42,1.01,25.68,2.10,0.46,77.51,19.14,35.37,33.02,23.39,93,-0.310,97.15,46.71,26.08,4.10,16.04,-5,-5,0,488,76,20.35,4.61,13,13.34,16.58,2.9,1.9,-0.228,50.9,30.7,0.55,42.5,115.6,178.2,165.1,29.4,26.2,2.2,15.3,55.4,67.2,11.3,4,30.4,10.2,10.2,8.9,4.9,9.6,6.4,5.5,2.5,22.9,302.7,5407,55.5,9.7,75.2,4.24,34,0,0.03,1.09,-73.9
Clearing ,6,22716,32.94,20.92,38.83,10.08,34.74,9.12,18.82,81.18,16.99,9.03,21.96,18.18,9.52,53883,24295,68.43,14.97,14.97,16.14,43.33,8.56,75.65,24.35,8.03,46.39,19.41,7.83,9.02,0.15,0.63,0.56,211000,25.91,7.28,13.19,24.39,35.46,40.15,46.05,51.84,0.53,0.81,7.62,4.20,0.66,80.63,14.07,12.19,10.17,8.86,29,0.066,74.53,28.13,5.41,0.70,10.83,5,1,-4,814,474,14.74,1.56,0,9.15,,2,1.3,0.047,46.5,26.8,1.51,56.7,167.2,247.7,193.3,57.9,26.6,0.7,21.8,18.1,78.1,18.7,2.5,24.9,8.1,8.1,7.7,10.2,10.9,13.8,7.1,0.7,39.3,380.2,8115,19.7,8.4,73,2.96,16,0,0.04,2.01,-49.1
West Lawn ,6,32950,44.45,18.05,25.83,9.18,50.30,30.12,33.60,66.40,9.07,7.57,36.17,30.99,9.55,48357,17020,54.31,22.30,22.30,27.50,42.42,6.35,77.58,22.42,5.81,57.72,18.83,5.84,10.00,0.48,1.98,0.92,182517,39.32,8.04,8.40,31.24,35.13,33.63,79.14,16.73,3.16,0.29,9.63,1.82,0.46,85.05,12.45,23.37,20.59,14.85,56,-0.401,86.48,,24.82,1.05,12.36,1,-3,-4,1401,8,29.71,3.09,3,9.22,14.01,3.2,1,-0.075,43.6,26.1,0.41,36,129.3,202.2,164.5,41.8,13.5,0.7,16.1,19.4,67.3,15.2,1,18.2,8.7,8.7,6,5,3.9,7.1,7.4,4.3,19,309.4,5103,58.9,8.8,71.6,1.59,28,2610,0.03,2.85,-55.7
Chicago Lawn ,6,54807,40.46,42.35,52.42,5.20,52.45,54.63,31.18,68.82,9.13,9.48,21.28,19.99,17.06,34018,12781,36.19,24.62,24.62,33.40,57.06,19.05,44.56,55.44,10.09,56.66,20.63,7.82,24.84,0.57,5.02,2.28,140700,48.32,10.36,6.48,34.12,29.51,36.37,41.75,3.47,53.48,0.80,25.60,2.33,0.00,75.95,21.39,15.82,43.32,27.93,80,-0.371,95.22,22.98,40.84,5.21,27.43,-9,-9,0,-3207,52,32.54,10.97,39,21.31,98.70,3.3,4.2,-0.346,45.4,26.2,0.29,53.5,162.3,267.3,191.8,47.4,30.7,2.8,25.9,44.6,71.2,14.8,6.1,29.1,27.4,27.4,8.4,3.7,9.4,8.4,12.1,2.5,26,407.7,10237,68.9,12.3,69.3,5.07,31,0,0.02,2.32,-74.8
West Englewood ,6,35294,27.92,68.21,78.37,9.92,41.36,67.66,26.27,73.73,6.90,16.27,1.94,1.33,35.87,27748,11288,27.26,25.16,25.16,27.99,59.65,24.44,47.12,52.88,11.35,41.04,11.14,8.54,35.98,0.14,4.53,0.90,111495,47.41,7.32,12.33,28.40,31.54,40.06,2.56,1.22,94.85,0.12,40.66,2.71,0.32,58.45,37.20,1.28,53.83,34.44,89,-0.342,90.73,35.21,53.21,5.39,55.39,-7,-9,-2,-3083,157,49.06,24.67,98,52.33,101.88,2.6,8.3,-0.671,41,23.2,1.50,67.4,151.8,267.1,242.5,67,31.1,2.4,25.4,61,95.5,22,18.2,55,56.8,56.8,13.7,7.5,25.1,9.1,13.8,13.4,32.8,457.4,17379,102.8,15.7,62,10.17,20,0,0.00,2.76,-87.1
Englewood ,6,28824,27.84,80.62,87.21,12.80,39.51,59.99,28.49,71.51,5.40,17.20,0.70,0.47,28.00,19548,11541,27.18,20.55,20.55,26.48,43.68,33.55,29.62,70.38,14.28,50.36,10.52,8.69,49.39,3.23,6.81,0.59,128018,47.26,8.45,11.97,30.49,28.26,41.25,0.95,0.59,97.40,0.05,41.50,2.87,0.16,60.90,35.95,0.24,62.92,46.65,94,-0.487,95.22,28.06,74.62,5.55,65.12,-11,-11,0,-4623,-72,54.54,28.51,77,43.53,96.74,2.7,11.1,-0.702,38,21.9,0.69,71.1,174.8,311.5,258.2,78.2,31,3.8,28.3,61.6,107.6,16.4,17.7,53.3,44.9,44.9,14.1,5.6,21.9,7.3,13.8,11.3,28.5,512.1,16228,92.1,12.6,63.3,11.21,15,0,0.00,1.68,-89.6
Greater Grand Crossing ,7,32873,26.15,75.85,86.65,12.10,34.90,46.09,16.52,83.48,17.74,15.59,1.12,0.85,23.05,29585,16871,37.65,20.10,20.10,26.43,49.79,22.63,35.37,64.63,10.41,50.09,15.34,9.00,37.76,0.73,2.05,1.17,143000,41.44,7.55,13.13,27.88,30.65,41.47,1.37,0.99,96.31,0.08,32.39,3.59,0.08,60.44,35.20,0.50,49.82,29.62,66,-0.003,94.72,31.72,68.54,6.69,53.62,-11,-11,0,-3148,205,50.52,21.93,58,37.61,59.87,2.6,6.5,-0.221,38.7,21.2,0.69,50.9,160.3,282.3,270.5,72.5,33.5,4.1,33.7,44.6,82.2,20.5,18.8,34.4,47.6,47.6,8.8,3.3,16.8,7.5,11.7,13.4,28.2,468.2,16244,70.8,10.9,64.1,5.82,19,0,0.06,1.41,-81.0
Ashburn ,5,42788,38.77,24.94,30.39,7.18,45.46,34.79,17.69,82.31,19.39,9.29,14.42,12.25,11.72,67838,23569,66.40,15.10,15.10,16.38,47.80,4.97,86.07,13.93,4.38,42.47,31.46,8.43,6.52,0.16,1.40,0.66,182100,26.01,6.47,9.82,27.12,35.34,37.55,30.73,16.71,51.53,0.28,10.81,1.30,0.00,85.67,12.59,7.60,19.30,10.39,37,0.222,84.11,29.40,19.93,2.22,22.24,1,-1,-2,3318,-131,21.69,4.72,15,16.30,68.94,3,1.3,0.140,45.5,27.1,0.20,40.7,120.2,188.5,208.8,54.2,38.6,1.6,28,37.3,72.7,22.1,2.4,24.4,14.2,14.2,9.2,1.9,2.4,2.8,8.9,1.9,39,336.4,7483,40.3,12.7,72.4,2.31,21,0,0.07,2.07,-50.7
Auburn Gresham ,5,49634,26.31,71.87,78.27,11.56,37.44,51.89,18.48,81.52,12.21,15.50,0.89,0.82,28.34,29774,14981,39.30,19.92,19.92,23.35,53.47,17.11,46.64,53.36,9.65,44.54,12.97,7.98,34.53,0.87,2.79,0.72,150007,44.58,6.92,14.90,26.96,29.58,43.46,0.98,0.27,98.08,0.16,34.08,1.54,0.00,61.97,35.07,0.48,45.48,27.58,74,-0.205,92.99,,44.40,6.31,48.18,-9,-9,0,-2167,-110,42.53,17.32,55,41.21,165.76,2.8,4.4,-0.310,39.6,23.3,0.64,61,143.7,260.6,228.5,64.2,39.2,5.5,22.6,35.1,82.7,20.6,14,33.7,41.8,41.8,9,4.8,14.4,7.7,14.4,4.9,26.2,420.8,14399,66.4,15.4,63.9,6.42,18,1,0.04,1.73,-72.1
Beverly ,5,21226,31.01,13.52,20.34,10.53,35.42,21.52,3.71,96.29,55.11,7.95,3.49,1.44,8.01,92326,40327,86.83,4.84,4.84,3.38,29.59,7.35,81.71,18.29,2.34,39.20,19.40,17.07,5.92,0.00,1.05,0.00,308429,19.33,6.64,13.05,27.43,34.56,38.01,5.14,58.22,34.70,0.29,4.39,1.30,0.88,79.52,17.78,0.71,4.23,5.09,12,0.480,46.78,28.15,3.11,0.19,14.39,9,7,-2,-369,-343,17.32,1.80,1,13.56,13.23,1.1,1.2,0.470,37,18.9,0.16,48,131.7,197.3,174.6,40.2,37,1.2,19.2,36.3,57,30,1.4,17.6,8.1,8.1,6.4,7.7,2.7,3.5,8,0,31.3,310.3,6016,9.1,11,84.2,2.31,9,0,0.00,4.69,-22.5
Washington Heights ,5,26021,20.94,57.88,62.19,14.40,31.80,64.39,13.74,86.26,17.90,15.79,0.72,0.57,20.80,43822,19536,54.14,16.46,16.46,15.31,62.46,12.26,67.19,32.81,5.34,37.42,13.67,9.00,19.51,0.92,1.60,0.00,152550,34.14,4.92,20.77,21.84,32.81,45.34,0.73,0.99,97.58,0.01,21.22,1.00,0.34,69.38,28.59,0.33,29.61,16.88,48,0.140,89.95,18.28,67.33,5.48,59.92,-3,-5,-2,-1856,-291,36.05,11.44,41,32.87,75.63,2.7,2.6,0.075,43,25.8,0.77,48.1,140.1,248.2,246.2,61.1,44.2,2.7,27,48,84.3,24.7,11.6,39.4,33,33,15,3.7,15.3,2.6,13.8,6.6,35.1,419.2,13283,57.4,12.9,65.5,4.07,6,0,0.00,2.1,-72.5
Mount Greenwood ,5,18475,36.65,8.36,14.00,8.85,37.94,6.96,4.35,95.65,32.19,8.81,2.80,1.22,8.75,86789,34644,90.51,3.95,3.95,2.42,32.19,7.44,90.65,9.35,3.99,36.93,25.79,14.11,4.93,0.00,1.61,0.38,245425,12.99,6.50,11.62,25.16,36.55,38.28,5.07,88.32,5.07,0.91,2.38,2.29,0.14,90.88,6.48,1.35,2.01,3.37,16,0.503,26.93,12.70,7.29,0.44,18.11,7,5,-2,-224,277,11.84,1.00,1,7.95,,1.1,0.9,0.407,38.8,19.9,0.11,27.6,154.4,213.3,194,53.3,31.1,3,22.4,29.3,55.9,20.5,0,32.3,1.1,1.1,6.9,5.3,8.5,4.8,3.1,0.9,38.6,348.2,4344,6.3,13.3,85.4,2.38,16,0,0.05,5.34,-29.2
Morgan Park ,5,22681,28.29,35.53,38.54,13.18,32.13,24.09,11.78,88.22,28.57,13.65,4.34,2.34,13.80,57566,27338,66.88,12.26,12.26,11.49,52.45,10.98,73.26,26.74,5.10,42.98,18.92,10.27,13.16,0.52,1.36,0.62,197043,24.47,5.39,15.78,23.46,35.26,41.28,6.36,38.32,53.31,0.63,14.01,1.95,0.36,80.80,15.77,1.80,18.90,12.61,30,0.239,85.42,,27.44,4.52,29.34,3,1,-2,-1835,-119,25.02,4.81,14,18.31,28.49,1.6,2.9,0.241,42.4,24.8,0.29,43.9,126,217.8,202.9,45.8,36.7,2.5,27.2,28.8,63.2,21.5,8.3,31.2,23.4,23.4,7.7,6.2,7.8,3.7,11.9,2.5,34,358.1,10371,44.5,14.6,70,2.98,5,0,0.10,2.18,-39.6
O'Hare ,1,13687,25.65,13.59,18.01,10.93,26.75,17.75,13.55,86.45,26.79,9.30,41.72,29.99,7.30,41294,21614,57.62,21.72,21.72,25.95,54.89,8.68,50.35,49.65,9.49,57.66,15.37,7.34,9.76,0.59,1.97,1.29,200000,32.13,8.36,14.76,19.87,39.51,40.61,17.73,70.96,1.61,7.71,5.32,2.23,0.09,86.44,8.20,20.95,30.33,14.57,24,0.420,76.21,36.75,7.35,0.00,6.59,9,5,-4,654,-101,26.95,1.24,0,7.48,,0.8,1.5,0.370,33.1,15.4,0.45,39.7,109.6,158,149.7,39.1,17.4,0,13.7,9.6,54.5,10.1,1.6,22.5,3.3,3.3,7.5,11.7,6.6,8.1,3.6,1.2,15.1,274.8,5703,21.2,9.9,78.8,1.64,3,0,0.14,0.14,
Edgewater ,1,55333,12.58,25.68,32.89,11.82,13.42,11.47,9.71,90.29,54.54,10.08,30.50,13.22,9.24,44395,32511,65.48,20.05,20.05,19.85,49.23,9.91,39.03,60.97,15.63,60.12,14.27,5.98,40.13,1.54,2.82,2.24,248971,35.88,4.75,11.95,11.86,43.98,44.15,16.30,53.45,14.66,12.20,9.14,6.37,1.97,46.15,43.27,17.11,22.03,18.16,19,0.091,85.22,,13.41,2.33,13.71,7,9,2,-3936,968,15.68,2.23,4,14.52,73.08,1,2.2,0.184,35.7,19.2,2.45,30.3,137.9,205.6,160.7,42.9,22.2,1.3,14.8,19.9,52.8,11.9,6.1,21.2,2.8,2.8,5.1,10.5,8.1,4.8,7,2.2,24.1,310,6646,11.6,10.9,70.3,2.73,15,0,0.20,0.98,-19.3
Chicago,0,,25.41,34.75,136.79,8.94,29.80,29.78,19.41,80.59,33.50,10.71,21.17,16.34,12.82,48150,27756,54.44,19.56,19.56,21.80,51.59,13.90,46.28,53.72,13.05,54.73,15.15,7.17,26.62,0.71,2.69,1.68,259211,35.56,6.90,10.54,23.01,36.78,40.21,28.29,32.33,32.31,5.52,17.00,6.65,1.34,62.78,27.71,12.59,32.21,19.64,,,,,,,,,,,,,,,,,42.39,1.6,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.6,72.3,,,,,,
