ZIP,County,Special area,Latitude,Longitude,Population,Age <18,Age 65+,Housing Units,Built 1979 or earlier,Built 1939 or earlier,under 5,5 to  9,10 to 14,15 to 19,20 to 24,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75 to 79,80 to 84,85+,Median age,Sex ratio,Age dependency ratio,White,Black,American Indian,Asian,Hispanic/Latino,Race-Ethnicity Diversity Index,Native,Foreign born,Non-citizens,Cancer incidence,Breast cancer incidence,Cervical cancer incidence,Colorectal cancer incidence,Leukemia and lymphoma incidence,Lung cancer incidence,Prostate cancer incidence,Oral cancer incidence,Crowded housing,Speak Spanish at home,Speak English poorly,Male,Female,"Poverty rate, families","Poverty rate, families with children","Poverty rate, families with children <5",Poverty rate,Poverty rate <5,Child poverty rate,Working-age adult poverty rate,Elderly poverty rate,Household poverty rate,Labor force participation,Unemployment,High school graduation rate,College graduation rate,Per capita income,Walk Score,Hardship Index,Gini index of income inequality
62702,Sangamon County,,39.824137,-89.64194,35928,21.373,15.848,18017,79.886,21.485,6.104,5.622,5.94,5.956,6.16,7.551,6.847,6.187,6.037,7.704,7.109,7.031,5.903,3.994,3.774,3.087,2.146,2.847,39.7,89.8,59.3,76.86205745,16.36606546,0.10576709,0.83500334,2.054108216,0.380819801,97.26953908,2.730460922,1.511356045,534.51,78.73,6.1,62.67,36.78,97.02,50.08,14.29,2.648675662,1.532532978,0.474284867,47.32242262,52.67757738,18.31238779,15.33213645,2.752842609,,,,,,18.31238779,62.14953271,10.4149262,86.41588711,18.23767243,23000,56,51.57780588,0.465
62703,Sangamon County,,39.762432,-89.629838,30803,25.673,12.272,13955,79.226,23.497,7.964,7.233,6.668,8.463,8.889,7.434,5.818,5.217,5.564,6.1,7.178,5.925,5.275,3.824,2.607,2.334,1.717,1.789,33.1,90.9,61.1,55.53679836,39.0513911,0.159075415,1.113527903,1.418692984,0.538306565,97.07820667,2.921793332,2.204330747,549.55,73.6,6.23,66.97,34.43,96.55,62.18,14.35,2.524018889,1.231040564,0.102292769,47.62523131,52.37476869,25.77452668,21.91623637,5.53643144,,,,,,25.77452668,64.22265198,14.95271868,86.57266464,18.98200075,19169,32,57.20614601,0.4416
62704,Sangamon County,,39.773498,-89.68384,40172,20.674,16.611,20952,77.487,20.905,6.253,5.616,5.628,4.891,7.072,7.747,7.184,5.494,6.358,5.795,7.002,7.383,6.965,4.394,4.117,2.848,2.28,2.972,40.1,90.1,59.5,79.81180922,11.87643135,0.251418899,2.514188987,3.176341731,0.346825029,95.02638654,4.973613462,2.093497959,472.21,76.57,4.23,51.66,34.37,60.77,58.19,9.69,0.888818765,2.280934679,0.716941052,47.39121776,52.60878224,10.07186751,8.686595146,2.343505885,,,,,,10.07186751,68.37209302,7.803545845,94.42072202,43.34968416,33154,15,38.08740014,0.4449
62707,Sangamon County,,39.85496,-89.650458,7378,20.453,14.882,3062,51.437,8.491,5.218,4.703,6.099,5.638,5.53,4.703,5.95,5.544,7.306,7.007,11.263,9.406,6.75,6.086,3.619,2.345,2.128,0.705,44.6,98,54.6,92.22011385,4.147465438,0.704798048,1.409596097,0.677690431,0.14746,97.4789916,2.521008403,1.504472757,149.98,20.81,*,16.32,9.93,23.52,17.06,3.76,0.272758268,0.557700558,0.786500787,49.48495527,50.51504473,5.965082444,4.364694471,2.085354025,,,,,,5.965082444,65.63426689,7.529055078,92.42367833,24.29262844,30201,0,36.56795107,0.36
62711,Sangamon County,,39.765466,-89.729326,16657,21.637,18.515,6866,17.186,2.01,4.323,6.088,6.7,5.847,3.884,3.836,6.274,5.847,6.346,7.708,8.381,8.015,8.237,5.391,3.704,2.81,2.804,3.806,46,86.4,67.1,88.14912649,3.800204118,0.006003482,5.337095515,1.987152548,0.218233755,93.03596086,6.964039143,2.473434592,256.6,39.93,*,25.09,16.81,27.66,35.1,7.4,0.803212851,1.512204304,0.922381879,46.35288467,53.64711533,1.206071948,0.519858598,0,,,,,,1.206071948,66.17212873,2.461951656,97.94846545,56.10536681,47380,19,28.57290076,0.4005
62712,Sangamon County,,39.753814,-89.579701,10099,24.785,13.576,4263,33.427,3.659,6.991,6.298,8.545,5.327,4.991,6.278,5.743,4.674,7.001,7.615,7.892,6.486,8.585,4.991,2.505,3.159,1.654,1.267,40.5,104.4,62.2,92.40518863,3.386473908,0.079215764,1.148628577,2.029903951,0.144346316,97.22744826,2.772551738,1.128824636,364.62,52.42,4.13,29.64,31.49,42.01,55.58,9.15,0.545634921,1.107207495,0,51.06446183,48.93553817,3.287021349,3.287021349,1.829888174,,,,,,3.287021349,71.37541699,3.048890493,98.14652656,51.43023935,44130,2,28.87380091,0.4236
62801,Marion County,,38.512863,-89.141837,22432,19.321,17.636,10251,70.179,21.861,6.197,5.572,4.239,5.604,7.293,6.883,6.246,5.26,6.183,6.807,7.529,7.734,6.816,4.788,3.812,3.236,2.389,3.41,42.2,108.1,58.6,83.17136234,10.12838802,0.066868759,0.579529244,3.40139087,0.296099491,98.30599144,1.694008559,0.945078459,535.79,70.02,8.04,67.18,33.98,99.55,65.95,14.21,2.234006544,2.56154358,0.579792795,51.94365193,48.05634807,16.87431294,13.66801026,4.26896299,,,,,,16.87431294,55.146466,13.48927875,85.39001756,13.45623276,20763,26,52.87881801,0.4458
62803,Washington County,,38.453336,-89.295029,978,28.528,17.996,379,81.53,37.203,8.896,5.215,6.646,9.1,3.681,7.26,8.384,6.442,5.112,4.09,5.01,5.317,6.851,3.579,4.908,2.352,2.761,4.397,35.5,106.8,87,86.29856851,5.316973415,0.204498978,1.022494888,4.703476483,0.24950548,98.46625767,1.533742331,0.613496933,512.68,66.38,*,85.22,42.38,54.62,81.71,*,2.017291066,3.928170595,0.224466891,51.63599182,48.36400818,6.439393939,4.924242424,2.272727273,,,,,,6.439393939,62.8032345,6.223175966,87.38461538,16.30769231,25022,,48.10040968,0.4009
62806,Edwards County,,38.382237,-88.076602,3275,24.855,17.313,1538,71.782,24.902,7.664,6.656,6.443,5.924,6.718,5.496,5.069,5.282,7.237,5.74,5.924,6.107,8.427,4.702,3.267,3.45,3.115,2.779,40.3,100.9,72.9,95.51145038,0.580152672,0,0.458015267,2.198473282,0.087061593,99.54198473,0.458015267,0.244274809,487.86,80.76,*,57.01,33.35,78.24,51.79,*,0.604229607,0.595238095,0.264550265,50.22900763,49.77099237,13.92557023,9.003601441,3.721488595,,,,,,13.92557023,60.4369879,9.061488673,85.78633654,10.95827602,21161,6,49.50854278,0.4283
62807,Marion County,,38.744774,-88.940675,1024,25.586,15.137,480,67.5,30,4.98,5.664,6.152,13.281,5.469,2.148,4.297,7.129,5.371,7.91,11.035,7.52,3.906,6.055,4.883,2.637,0.391,1.172,40.6,104,68.7,97.8515625,0,0,0.29296875,0.68359375,0.042314529,98.2421875,1.7578125,0.1953125,500.17,63.65,*,50.41,*,84.27,67.72,*,3.287671233,0.924974306,0,50.9765625,49.0234375,10.70110701,5.166051661,1.10701107,,,,,,10.70110701,68.83435583,20.1426025,80,5.757575758,18546,,61.36871065,0.3595
